mpg,cylinders,displacement,horsepower,weight_lbs,acceleration_0_60,model year,origin_numeric,torque_lbft,top_speed_mph,0-60_time_sec_predicted,quarter_mile_time,car_name,car_full_name,origin_text,alternate_hp,alternate_weight,alternate_year
27.4,4,121,80,2670,15,79,1,105,95,14.2,,amc spirit dl,1979 AMC Spirit Liftback 2L 4-speed (man. 4),America,,,
23,4,115,95,2694,15,75,2,,,,,audi 100 ls,,Europe,,,
20,4,114,91,2582,14,73,2,,,,,audi 100 ls,,Europe,,,
24,4,107,90,2430,14.5,70,2,111,90,12.1,,audi 100 ls,1973 Audi 100 LS (man. 4) (model for North America U.S.) ,Europe,91,,
34.3,4,97,78,2188,15.8,80,2,84,100,13,,audi 4000,,Europe,,,
20.3,5,131,103,2830,15.9,78,2,110,103,12.4,,audi 5000,1978 Audi 5000 (man. 4),Europe,,3593,
36.4,5,121,67,2950,19.9,80,2,,,,,audi 5000s (diesel),,Europe,,,
29,4,98,83,2219,16.5,74,2,82,96,12.9,,audi fox,1974 Audi Fox automatic (aut. 3),Europe,75,,
26,4,121,113,2234,12.5,70,2,116,106,10.3,,bmw 2002,1970 BMW 2002 (man. 4),Europe,114,,
21.5,4,121,110,2600,12.8,77,2,123,114,9.4,,bmw 320i,,Europe,123,,
17,6,231,110,3907,21,75,1,175,96,17.6,,buick century,1975 Buick Century Custom Hardtop Coupe 3.8L V-6 Hydra-Matic (aut. 3),America,,,
22.4,6,231,110,3415,15.8,81,1,,,,,buick century,,America,,,
13,8,350,175,4100,13,73,1,,,,,buick century 350,,America,,,
25,6,181,110,2945,16.4,82,1,,,,,buick century limited,,America,,,
13,8,350,150,4699,14.5,74,1,,,,,buick century luxus (sw),,America,,,
20.6,6,231,105,3380,15.8,78,1,,,,,buick century special,,America,,,
12,8,455,225,4951,11,73,1,360,121,11,,buick electra 225 custom,1973 Buick Electra 225 Custom Hardtop Coupe (aut. 3),America,,,
14,8,455,225,3086,10,70,1,510,126,7.8,,buick estate wagon (sw),1970 Buick Estate Wagon (man. 3),America,370,4762,
16.9,8,350,155,4360,14.9,79,1,,,,,buick estate wagon (sw),,America,,,
13,8,350,155,4502,13.5,72,1,359,103,12.8,,buick lesabre custom,1972 Buick Le Sabre 4-Door Hardtop 350 V-8 (aut. 3),America,150,4365,
30,4,111,80,2155,14.8,77,1,129,98,12.3,,buick opel isuzu deluxe,1977 Buick Opel Deluxe Sedan (man. 4),America,,2130,
17.7,6,231,165,3445,13.4,78,1,359,118,9.2,,buick regal sport coupe (turbo),1978 Buick Regal Sport Coupe Turbo 3.8L V-6 4-bbl. automatic (aut. 3),America,,,
21,6,231,110,3039,15,75,1,237,111,12.9,,buick skyhawk,1975 Buick Skyhawk Hydra-Matic (aut. 3),America,,2956,
20.5,6,231,105,3425,16.9,77,1,251,100,15.2,,buick skylark,1977 Buick Skylark 2-Door Coupe 3.8L V-6 automatic (aut. 3),America,,,
26.6,4,151,84,2635,16.4,81,1,,,,,buick skylark,,America,,,
15,8,350,165,3693,11.5,70,1,360,120,8.1,,buick skylark 320,1970 Buick Skylark 350 4-Door Sedan 350-2 V-8 (man. 3),America,155,3549,
28.4,4,151,90,2670,16,79,1,,,,,buick skylark limited,,America,,,
23,8,350,125,3900,17.4,79,1,225,104,15.6,,cadillac eldorado,1979 Cadillac Eldorado 5.7L V-8 Diesel (aut. 3),America,,4100,
16.5,8,350,180,4380,12.1,76,1,225,101,17.7,,cadillac seville,1979 Cadillac Seville 5.7L V-8 Diesel (aut. 3),America,170,4290,
25,4,140,92,2572,14.9,76,1,157,103,12.5,,capri ii (Mercury),1976 Capri II 2.3 Ghia (man. 4),America,88,2562,
16,6,250,105,3897,18.5,75,1,185,97,18.7,,chevroelt chevelle malibu,1976 Chevrolet Chevelle Malibu Classic Sedan 250 Hydra-Matic (aut. 3),America,,,
15,8,350,145,4440,14,75,1,250,103,13.7,,chevrolet bel air,1975 Chevrolet Bel Air 4-Door Sedan 350 V-8 Turbo-Fire Hydra-Matic (aut. 3),America,,4321,
27,4,151,90,2950,17.3,82,1,132,104,15.2,,chevrolet camaro,1982 Chevrolet Camaro Sport Coupe 2.5L TBI automatic (aut. 3),America,,2877,
13,8,400,150,4464,12,73,1,295,104,13.1,,chevrolet caprice classic,1973 Chevrolet Caprice Classic Sport Sedan 400-2 V-8 Turbo-Jet Hydra-Matic (aut. 3),America,,4343,
17.5,8,305,145,3880,12.5,77,1,,,,,chevrolet caprice classic,,America,,,
17,8,305,130,3840,15.4,79,1,,,,,chevrolet caprice classic,,America,,,
28,4,112,88,2605,19.6,82,1,100,96,15.5,,chevrolet cavalier,1982 Chevrolet Cavalier Sedan 1.8L automatic (aut. 3),America,,2476,
34,4,112,88,2395,18,82,1,100,98,15.1,,chevrolet cavalier 2-door,1982 Chevrolet Cavalier Coupe 1.8L automatic (aut. 3),America,,2410,
27,4,112,88,2640,18.6,82,1,100,96,15.6,,chevrolet cavalier wagon,1982 Chevrolet Cavalier Station Wagon 1.8L automatic (aut. 3),America,,2531,
15.9,8,350,165,4142,11.5,70,1,235,98,15.6,,chevrolet chevelle concours (sw),1970 Chevrolet Chevelle Concours Wagon 250 Turbo-Thrift Hydra-Matic (aut. 3),America,155,3818,
13,8,307,130,4098,14,72,1,,,,,chevrolet chevelle concours (sw),,America,,,
18,8,307,130,3504,12,70,1,235,105,11.6,,chevrolet chevelle malibu,1970 Chevrolet Chevelle Malibu Sedan 250 Turbo-Thrift (man. 3),America,155,3327,
17,6,250,100,3329,15.5,71,1,,,,,chevrolet chevelle malibu,,America,,,
17.5,8,305,140,4215,13,76,1,,,,,chevrolet chevelle malibu classic,,America,,,
16,6,250,100,3781,17,74,1,,,,,chevrolet chevelle malibu classic,,America,,,
32.1,4,98,70,2120,15.5,80,1,82,96,15.9,,chevrolet chevette,1980 Chevrolet Chevette 4-Door Hatchback Sedan 1.6L automatic (aut. 3),America,,,
30,4,98,68,2155,16.5,78,1,,,,,chevrolet chevette,,America,,,
30.5,4,98,63,2051,17,77,1,,,,,chevrolet chevette,,America,,,
29,4,85,52,2035,22.2,76,1,,,,,chevrolet chevette,,America,,,
28.8,6,173,115,2595,11.3,79,1,145,109,11.8,,chevrolet citation,1980 Chevrolet Citation Hatchback Sedan 2.8L V-6 automatic (aut. 3),America,,2555,80
23.5,6,173,110,2725,12.6,81,1,,,,,chevrolet citation,,America,,,
28,4,151,90,2678,16.5,80,1,,,,,chevrolet citation,,America,,,
17.5,6,250,110,3520,16.4,77,1,,,,,chevrolet concours,,America,,,
14,8,454,220,4354,9,70,1,345,116,9.6,,chevrolet impala,1970 Chevrolet Kingswood Wagon 350 V-8 Turbo-Fire 250-hp (man. 3),America,250,4398,
14,8,350,165,4209,12,71,1,,,,,chevrolet impala,,America,,,
13,8,350,165,4274,12,72,1,,,,,chevrolet impala,,America,,,
11,8,400,150,4997,14,73,1,,,,,chevrolet impala,,America,,,
13,8,350,145,3988,13,73,1,255,111,11.8,,chevrolet malibu,1973 Chevrolet Chevelle Malibu Sedan 350 V-8 Turbo-Fire Hydra-Matic (aut. 3),America,,,
20.5,6,200,95,3155,18.2,78,1,,,,,chevrolet malibu,,America,,,
19.2,8,267,125,3605,15,79,1,,,,,chevrolet malibu classic (sw),,America,,,
15,8,400,150,3761,9.5,70,1,345,126,10.4,,chevrolet monte carlo,1970 Chevrolet Monte Carlo 350 V-8 Turbo-Fire 250-hp Powerglide (aut. 2),America,250,3565,
15.5,8,350,170,4165,11.4,77,1,,,,,chevrolet monte carlo landau,,America,,,
19.2,8,305,145,3425,13.2,78,1,,,,,chevrolet monte carlo landau,,America,,,
15,8,350,145,4082,13,73,1,,,,,chevrolet monte carlo s,,America,,,
20,8,262,110,3221,13.5,75,1,195,112,12.3,,chevrolet monza 2+2,1975 Chevrolet Monza 2+2 Hatchback Coupe 4.3L V-8 Hydra-Matic (aut. 3),America,,,
18,6,250,105,3459,16,75,1,185,101,16.1,,chevrolet nova,1975 Chevrolet Nova 4-Door Sedan 4.1L Hydra-Matic (aut. 3),America,,,
22,6,250,105,3353,14.5,76,1,,,,,chevrolet nova,,America,,,
15,6,250,100,3336,17,74,1,,,,,chevrolet nova,,America,,,
16,6,250,100,3278,18,73,1,,,,,chevrolet nova custom,,America,,,
20,4,140,90,2408,19.5,72,1,121,103,14.2,,chevrolet vega,1972 Chevrolet Vega 2300 GT Hatchback Coupe automatic (aut. 2),America,,2374,
25,4,140,75,2542,17,74,1,,,,,chevrolet vega,,America,,,
21,4,140,72,2401,19.5,73,1,,,,,chevrolet vega,,America,,,
22,4,140,72,2408,19,71,1,,,,,chevrolet vega (sw),,America,,,
28,4,140,90,2264,15.5,71,1,,,,,chevrolet vega 2300,,America,,,
24.5,4,98,60,2164,22.1,76,1,82,92,15.6,,chevrolet woody,"1976 Chevrolet Chevette Coupe 1.6L Hydra-Matic (aut. 3) (Woodie Coupe, Sport Coupe)",America,,2019,
13,8,350,145,4055,12,76,1,,,,,chevy c10,,America,,,
10,8,307,200,4376,15,70,1,,,,,chevy c20,,America,,,
31,4,119,82,2720,19.4,82,1,101,83,17.8,,chevy s-10,1983 Chevrolet S-10 Blazer 2WD 2.0L (man. 4),America,,3080,
15.5,8,400,190,4325,12.2,77,1,305,119,11,18.7,chrysler cordoba,1977 Chrysler Cordoba 400-4 V-8 TorqueFlite (aut. 3),America,,,
26,4,156,92,2585,14.5,82,1,,,,,chrysler lebaron medallion,,America,,,
17.6,6,225,85,3465,16.6,81,1,,,,,chrysler lebaron salon,,America,,,
18.5,8,360,150,3940,13,79,1,265,106,12.2,22.2,chrysler lebaron town @ country (sw),1979 Chrysler Le Baron Town&Country Wagon 360-2V V-8 TorqueFlite (aut. 3),America,,,
13,8,440,215,4735,11,73,1,345,117,10.2,16.5,chrysler new yorker brougham,1973 Chrysler Newport Custom 4-Door Sedan 440 V-8 TorqueFlite (aut. 3),America,,,
13,8,400,190,4422,12.5,72,1,,,,,chrysler newport royal,,America,,,
21.7,4,133,115,3090,17.5,70,2,135,117,11,,citroen ds-21 pallas,1970 Citroen DS 20 (man. 4),Europe,123,2976,
35,4,72,69,1613,18,71,3,71,93,14.8,17.4,datsun 1200,1971 Datsun 1200 2-Door Coupe (Something Special) (man. 4),Japan,,,
32.9,4,119,100,2615,14.8,81,3,112,109,12.1,18.8,datsun 200sx,,Japan,,,
23.9,4,119,97,2405,14.9,78,3,,,,,datsun 200-sx,,Japan,,,
31.8,4,85,65,2020,19.2,79,3,72,96,14.7,20,datsun 210,1979 Datsun 210 Sportwagon 4-speed (man. 4),Japan,,,
40.8,4,85,65,2110,19.2,80,3,,,,,datsun 210,,Japan,,,
37,4,85,65,1975,19.4,81,3,,,,,datsun 210 mpg,,Japan,,,
32.7,6,168,132,2910,11.4,80,3,144,124,9.8,,datsun 280-zx,1980 Datsun 280ZX Grand Luxury 2+2 5-speed (man. 5),Japan,,2941,
37.2,4,86,65,2019,16.4,80,3,75,95,13.5,19.4,datsun 310,1980 Datsun 310 Hatchback Sedan 5-speed (man. 5),Japan,,1970,
38,4,91,67,1995,16.2,82,3,,,,,datsun 310 gx,,Japan,,,
27.2,4,119,97,2300,14.7,78,3,112,103,13.2,19.4,datsun 510,1978 Datsun 510 2-Door Sedan automatic (aut. 3),Japan,110,2251,
28,4,97,92,2288,17,72,3,,,,,datsun 510 (sw),,Japan,,,
37,4,119,92,2434,15,80,3,,,,,datsun 510 hatchback,,Japan,,,
22,4,108,94,2379,16.5,73,3,108,103,13.2,19.4,datsun 610,1973 Datsun 610 Sedan automatic (aut. 3),Japan,105,2315,
24,4,119,97,2545,17,75,3,100,103,14.7,14.7,datsun 710,1975 Datsun 710 4-Door Sedan automatic (aut. 3),Japan,100,2482,
32,4,83,61,2003,19,74,3,,,,,datsun 710,,Japan,,,
22,6,146,97,2815,14.5,77,3,138,114,9.8,17.3,datsun 810,,Japan,127,2720,
24.2,6,146,120,2930,13.8,81,3,,,,,datsun 810 maxima,,Japan,,,
31,4,79,67,1950,19,74,3,,,,,datsun b210,,Japan,,,
32,4,85,70,1990,17,76,3,,,,,datsun b-210,,Japan,,,
39.4,4,85,70,2070,18.6,78,3,,,,,datsun b210 gx,,Japan,,,
33.5,4,85,70,1945,16.8,77,3,75,98,13.4,18.9,datsun f-10 hatchback,1977 Datsun F-10 Hatchback (man. 5),Japan,,2661,
27,4,97,88,2130,14.5,70,3,,,,,datsun pl510,,Japan,,,
27,4,97,88,2130,14.5,71,3,,,,,datsun pl510,,Japan,,,
29,4,135,84,2525,16,82,1,111,99,12.6,19.2,dodge aries se,1982 Dodge Aries SE 4-Door 2.2L automatic (aut. 3),America,,,
25.8,4,156,92,2620,14.4,81,1,,,,,dodge aries wagon (sw),,America,,,
18.6,6,225,110,3620,18.7,78,1,244,101,15.9,20.2,dodge aspen,1978 Dodge Aspen Sedan 225 Super Six TorqueFlite (aut. 3),America,,3274,
19.1,6,225,90,3381,18.7,80,1,,,,,dodge aspen,,America,,,
20.6,6,225,110,3360,16.6,79,1,,,,,dodge aspen 6,,America,,,
20,6,225,100,3651,17.7,76,1,,,,,dodge aspen se,,America,,,
15,8,383,170,3563,10,70,1,215,102,12.5,18.9,dodge challenger se,1970 Dodge Challenger 225 Six TorqueFlite (aut. 3) (SE),America,145,3119,
36,4,135,84,2370,13,82,1,111,104,13.1,19.3,dodge charger 2.2,1983 Dodge Charger 2.2-liter automatic (aut. 3),America,94,,83
27.9,4,156,105,2800,14.4,80,1,,,,,dodge colt,,America,,,
26,4,98,79,2255,17.7,76,1,86,94,15.6,20.7,dodge colt,1976 Dodge Colt 4-Door Sedan 1.6L automatic (aut. 3),America,,,
28,4,90,75,2125,14.5,74,1,,,,,dodge colt,,America,,,
28,4,98,80,2164,15,72,1,,,,,dodge colt (sw),,America,,,
25,4,97.5,80,2126,17,72,1,,,,,dodge colt hardtop,,America,,,
35.7,4,98,80,1915,14.4,79,1,,,,,dodge colt hatchback custom,,America,,,
33.5,4,98,83,2075,15.9,77,1,,,,,dodge colt m/m,,America,,,
16,8,318,150,4190,13,76,1,255,108,12.5,19,dodge coronet brougham,1976 Dodge Coronet Brougham 4-Door Sedan 318 V-8 TorqueFlite (aut. 3),America,,4012,
15,8,318,150,3777,12.5,73,1,,,,,dodge coronet custom,,America,,,
14,8,318,150,4457,13.5,74,1,,,,,dodge coronet custom (sw),,America,,,
13,8,318,150,3755,14,76,1,,,,,dodge d100,,America,,,
11,8,318,210,4382,13.5,70,1,,,,,dodge d200,,America,,,
15,8,318,150,3399,11,73,1,265,113,9.5,17.1,dodge dart custom,1973 Dodge Dart 4-Door Sedan 318 V-8 TorqueFlite (aut. 3),America,,,
19.4,8,318,140,3735,13.2,78,1,246,108,12.3,19.4,dodge diplomat,1978 Dodge Diplomat 4-Door 318-2 V-8 TorqueFlite (aut. 3),America,,,
17.5,8,318,140,4080,13.7,78,1,246,109,13.8,19.9,dodge magnum xe,1978 Dodge Magnum XE 318-2 V-8 TorqueFlite (aut. 3),America,190,,
12,8,383,180,4955,11.5,71,1,305,114,11,18.4,dodge monaco (sw),1971 Dodge Monaco Station Wagon 383 V-8 4-bbl. TorqueFlite (aut. 3),America,,,
15.5,8,318,145,4140,13.7,77,1,,,,,dodge monaco brougham,,America,,,
30.9,4,105,75,2230,14.5,78,1,90,97,14.9,20.3,dodge omni,1978 Dodge Omni 1.7L automatic (aut. 3),America,,,
32,4,135,84,2295,11.6,82,1,,,,,dodge rampage,,America,,,
18.2,8,318,135,3830,15.2,79,1,250,105,12.8,19.5,dodge st. regis,1979 Dodge St. Regis 318-2 V-8 TorqueFlite (aut. 3),America,,,
26,4,98,90,2265,15.5,73,2,101,112,9.9,17.4,fiat 124 sport coupe,1973 Fiat 124 Sport Coupe 1600 (man. 4),Europe,103,2899,
26,4,116,75,2246,14,74,2,,,,,fiat 124 tc,,Europe,,,
30,4,88,76,2065,14.5,71,2,,,,,fiat 124b,,Europe,,,
24,4,90,75,2108,15.5,74,2,68,99,12.1,18.6,fiat 128,1974 Fiat 128 Coupe 1300 SL (man. 4),Europe,74,2502,
29,4,68,49,1867,19.5,73,2,,,,,fiat 128,,Europe,,,
28,4,107,86,2464,15.5,76,2,90,101,13.9,19.7,fiat 131,1976 Fiat 131 4-Door Sedan automatic (aut. 3),Europe,,,
37.3,4,91,69,2130,14.7,79,2,77,93,16.4,20.7,fiat strada custom,1979 Fiat Strada Custom 4-Door Hatchback automatic (aut. 3) (Luxury Pkg.),Europe,,2028,
31,4,79,67,2000,16,74,2,68,103,13.2,19.2,fiat x1.9,1974 Fiat X 1/9 (man. 4),Europe,,1971,
12,8,400,167,4906,12.5,73,1,312,106,13.3,19.5,ford country,1973 Ford Country Sedan 400 V-8 Cruise-O-Matic (aut. 3),America,,4799,
13,8,400,170,4746,12,71,1,376,114,10.7,18,ford country squire (sw),1971 Ford LTD Country Squire 390 V-8 Cruise-O-Matic (aut. 3),America,255,4610,
15.5,8,351,142,4054,14.3,79,1,,,,,ford country squire (sw),,America,,,
29.9,4,98,65,2380,20.7,81,1,85,94,15.5,20.3,ford escort 2h,1981 Ford Escort Hatchback 1.6L automatic (aut. 3),America,,2119,
34.4,4,98,65,2045,16.2,81,1,,,,,ford escort 4w,,America,,,
13,8,302,130,3870,15,76,1,,,,,ford f108,,America,,,
10,8,360,215,4615,14,70,1,,,,,ford f250,,America,,,
26.4,4,140,88,2870,18.1,80,1,119,93,15.5,20.3,ford fairmont,"1980 Ford Fairmont 4-door Sedan 2.3L automatic (aut. 3) (ES Pkg., Ghia Pkg.)",America,,2712,
20.2,6,200,85,2965,15.8,78,1,,,,,ford fairmont (auto),,America,,,
25.1,4,140,88,2720,15.4,78,1,,,,,ford fairmont (man),,America,,,
22.3,4,140,88,2890,17.3,79,1,,,,,ford fairmont 4,,America,,,
24,4,140,92,2865,16.4,82,1,119,96,14.1,19.6,ford fairmont futura,1982 Ford Fairmont Futura 4-door Sedan 2.3L (a/c opt.) (man. 4),America,,,
36.1,4,98,66,1800,14.4,78,1,88,98,11.6,18.3,ford fiesta,1978 Ford Fiesta S (man. 4),America,,1775,
18.1,8,302,139,3205,11.2,78,1,,,,,ford futura,,America,,,
15,8,429,198,4341,10,70,1,,,,,ford galaxie 500,,America,,,
14,8,351,153,4154,13.5,71,1,,,,,ford galaxie 500,,America,,,
14,8,351,153,4129,13,72,1,300,114,9.3,17.2,ford galaxie 500,1970 Ford Galaxie 500 4-door Hardtop 302 V-8 (man. 3),America,220,3818,
14.5,8,351,152,4215,12.8,76,1,274,108,13.9,19.3,ford gran torino,1976 Ford Gran Torino 4-door Pillared Hardtop 351 V-8 Cruise-O-Matic (aut. 3),America,,,
16,8,302,140,4141,14,74,1,,,,,ford gran torino,,America,,,
14,8,302,137,4042,14.5,73,1,,,,,ford gran torino,,America,,,
13,8,302,140,4294,16,72,1,,,,,ford gran torino (sw),,America,,,
14,8,302,140,4638,16,74,1,,,,,ford gran torino (sw),,America,,,
18.5,6,250,98,3525,19,77,1,190,95,16.7,21.1,ford granada,1977 Ford Granada 4-door Sedan 250 Six Cruise-O-Matic (aut. 3),America,,3362,
18,6,250,78,3574,21,76,1,,,,,ford granada ghia,,America,,,
20.2,6,200,88,3060,17.1,81,1,,,,,ford granada gl,,America,,,
22,6,232,112,2835,14.7,82,1,,,,,ford granada l,,America,,,
13,8,351,158,4363,13,73,1,250,108,14,19.9,ford ltd,1973 Ford LTD 4-door Hardtop 351 V-8 Cruise-O-Matic (aut. 3),America,,4338,
14,8,351,148,4657,13.5,75,1,,,,,ford ltd,,America,,,
17.6,8,302,129,3725,13.4,79,1,,,,,ford ltd landau,,America,,,
18,6,250,88,3021,16.5,73,1,,,,,ford maverick,,America,,,
21,6,200,85,2587,16,70,1,,,,,ford maverick,,America,,,
24,6,200,81,3012,17.6,76,1,,,,,ford maverick,,America,,,
15,6,250,72,3158,19.5,75,1,,,,,ford maverick,,America,,,
18,6,250,88,3139,14.5,71,1,,,,,ford mustang,,America,,,
NA,8,302,140,3353,8,70,1,290,133,7.3,15.6,ford mustang boss 302,1970 Ford Mustang Boss 302 close-ratio (man. 4),America,290,3227,
27,4,140,86,2790,15.6,82,1,,,,,ford mustang gl,,America,,,
13,8,302,129,3169,12,75,1,,,,,ford mustang ii,,America,,,
25.5,4,140,89,2755,15.8,77,1,,,,,ford mustang ii 2+2,,America,,,
18,6,171,97,2984,14.5,75,1,,,,,ford pinto,,America,,,
19,4,122,85,2310,18.5,73,1,,,,,ford pinto,,America,,,
23,4,140,83,2639,17,75,1,110,97,13.6,19.4,ford pinto,,America,,2575,
26,4,122,80,2451,16.5,74,1,,,,,ford pinto,,America,,,
26.5,4,140,72,2565,13.6,76,1,91,88,14.8,19.8,ford pinto,1971 Ford Pinto 2-door Sedan 1600-cc (man. 4),America,75,2015,
22,4,122,86,2395,16,72,1,,,,,ford pinto (sw),,America,,,
21,4,122,86,2226,16.5,72,1,103,96,12.8,18.9,ford pinto runabout,1972 Ford Pinto Runabout 2000-cc Cruise-O-Matic (aut. 3),America,,2149,
28,4,120,79,2625,18.6,82,1,,,,,ford ranger,,America,,,
16,8,351,149,4335,14.5,77,1,291,108,13.1,19.7,ford thunderbird,1977 Ford Thunderbird 351 V-8 Cruise-O-Matic (aut. 3),America,,4279,
17,8,302,140,3449,10.5,70,1,240,103,13.3,19.3,ford torino,1970 Ford Torino 4-door Hardtop 250 Six Cruise-O-Matic (aut. 3),America,155,3331,
NA,8,351,153,4034,11,70,1,,,,,ford torino (sw),,America,,,
19,6,250,88,3302,15.5,71,1,,,,,ford torino 500,,America,,,
9,8,304,193,4732,18.5,70,1,,,,,hi 1200d,,America,,,
36,4,107,75,2205,14.5,82,3,93,106,12.5,18.5,honda accord,,Japan,79,3351,
32.4,4,107,72,2290,17,80,3,,,,,honda accord,,Japan,,,
31.5,4,98,68,2045,18.5,77,3,,,,,honda accord cvcc,,Japan,,,
29.5,4,98,68,2135,16.6,78,3,,,,,honda accord lx,,Japan,,,
24,4,120,97,2489,15,74,3,,,,,honda civic,,Japan,,,
38,4,91,67,1965,15,82,3,,,,,honda civic,,Japan,,,
33,4,91,53,1795,17.4,76,3,59,83,14.6,19.6,honda civic,,Japan,,1537,
32,4,91,67,1965,15.7,82,3,,,,,honda civic (auto),,Japan,,,
35.1,4,81,60,1760,16.1,81,3,,,,,honda civic 1300,,Japan,,,
44.6,4,91,67,1850,13.8,80,3,,,,,honda civic 1500 gl,,Japan,,,
36.1,4,91,60,1800,16.4,78,3,,,,,honda civic cvcc,,Japan,,,
33,4,91,53,1795,17.5,75,3,74,87,15.9,20.4,honda civic cvcc,1975 Honda Civic CVCC 4-Door automatic Deluxe (aut. 2),Japan,62,1653,
33.7,4,107,75,2210,14.4,81,3,93,101,12.5,18.1,honda prelude,,Japan,79,2998,
34.1,4,86,65,1975,15.2,79,3,,,,,maxda glc deluxe,,Japan,,,
18,3,70,90,2124,13.5,73,3,,,,,maxda rx3,,Japan,,,
31.3,4,120,75,2542,17.5,80,3,89,96,17,20.9,mazda 626,1980 Mazda 626 1.6 GLS automatic (aut. 3),Japan,74,3395,
31.6,4,120,74,2635,18.3,81,3,,,,,mazda 626,,Japan,,,
46.6,4,86,65,2110,17.9,80,3,,,,,mazda glc,,Japan,,,
34.1,4,91,68,1985,16,81,3,,,,,mazda glc 4,,Japan,,,
31,4,91,68,1970,17.6,82,3,,,,,mazda glc custom,,Japan,,,
37,4,91,68,2025,18.2,82,3,,,,,mazda glc custom l,,Japan,,,
32.8,4,78,52,1985,19.4,78,3,,,,,mazda glc deluxe,,Japan,,,
19,3,70,97,2330,13.5,72,3,,,,,mazda rx2 coupe,,Japan,,,
21.5,3,80,110,2720,13.5,77,3,165,106,11.4,18.2,mazda rx-4,1977 Mazda RX-4 Sedan automatic (aut. 3),Japan,113,2623,
23.7,3,70,100,2420,12.5,80,3,106,118,9,17.3,mazda rx-7 gs,1980 Mazda RX-7 (man. 5),Japan,103,2337,
25.4,5,183,77,3530,20.1,79,2,,,,,mercedes benz 300d,,Europe,,,
30,4,146,67,3250,21.8,80,2,97,86,22.5,22.7,mercedes-benz 240d,1980 Mercedes-Benz 240 D automatic (aut. 4),Europe,,3020,
16.5,6,168,120,3820,16.7,76,2,,,,,mercedes-benz 280s,,Europe,,,
23,4,122,86,2220,14,71,1,98,99,14.8,20.2,mercury capri 2000,1973 Capri 2000 automatic (aut. 3),America,,2340,
21,6,155,107,2472,14,73,1,,,,,mercury capri v6,,America,,,
15,8,302,130,4295,14.9,77,1,243,103,15.3,20.6,mercury cougar brougham,1977 Mercury Cougar Brougham 4-Door 302-2V V-8 Select-Shift automatic (aut. 3),America,,4144,
16.5,8,351,138,3955,13.2,79,1,260,103,12.9,19.6,mercury grand marquis,1979 Mercury Grand Marquis 2-Door Sedan 5.8L V-8 (aut. 3),America,,3737,
36,4,98,70,2125,17.3,82,1,,,,,mercury lynx l,,America,,,
11,8,429,208,4633,11,72,1,,,,,mercury marquis,,America,,,
12,8,429,198,4952,11.5,73,1,,,,,mercury marquis brougham,,America,,,
15,6,250,72,3432,21,75,1,,,,,mercury monarch,,America,,,
20.2,8,302,139,3570,12.8,78,1,,,,,mercury monarch ghia,,America,,,
